bucket,default_wmk,min_wmk,max_wmk,notes,source
limestone,2.8,2.5,4.0,"Solid sediment; VDI 4640 recommended value is 2.8 (used as default). Low porosity so little dry/saturated sensitivity.","VDI 4640 Blatt 1:2010 sediment table (limestone), as transcribed in Busby 2011 (BGS, Cambridge GSHP seminar); corroborated by Banks 2012 (An Introduction to Thermogeology, 2nd ed.) and Kavanaugh & Rafferty 2014 (ASHRAE) Table 3.4"
dolostone,3.0,2.8,4.3,"VDI 4640 'dolomite' recommended value is 3.2; default kept at 3.0 (prior GSHP mid-range, within the VDI range). Low porosity, weak saturation sensitivity.","VDI 4640 Blatt 1:2010 sediment table (dolomite), transcribed in Busby 2011 (BGS)"
sandstone,2.3,1.3,5.1,"VDI 4640 recommended value is 2.3 (used as default). Very wide range reflects quartz content and cementation; higher when quartz-rich and water-saturated.","VDI 4640 Blatt 1:2010 sediment table (sandstone), transcribed in Busby 2011 (BGS); Banks 2012"
shale,1.9,1.1,3.5,"Mapped to VDI 4640 'claystone/siltstone' (recommended 2.2); default 1.9 within range. Fissile mudrock, low quartz; slate (metamorphosed) can be higher.","VDI 4640 Blatt 1:2010 sediment table (claystone/siltstone), transcribed in Busby 2011 (BGS)"
granite,3.2,2.1,4.1,"VDI 4640 recommended value is 3.4; default 3.2 (GSHP mid-range, within range). Crystalline, low porosity so negligible dry/saturated effect.","VDI 4640 Blatt 1:2010 magmatic-rock table (granite); Kavanaugh & Rafferty 2014 (ASHRAE) Table 3.4"
gneiss,3.0,1.9,4.0,"VDI 4640 recommended value is 2.9; default 3.0 within range. Anisotropic (foliation) so measured values scatter widely.","VDI 4640 Blatt 1:2010 metamorphic-rock table (gneiss); Kavanaugh & Rafferty 2014 (ASHRAE) Table 3.4"
clay,1.4,0.9,2.3,"Range shown is VDI 4640 'clay/silt water-saturated' (recommended 1.7). DRY clay is far lower (VDI 0.4-1.0, rec 0.5) - strong saturation sensitivity. Ottawa Champlain Sea clay is saturated below shallow depth, so the saturated range is used; default 1.4 within it.","VDI 4640 Blatt 1:2010 (clay/silt, saturated and dry rows), transcribed in Busby 2011 (BGS); Banks 2012"
silt,1.5,0.9,2.3,"Same VDI 4640 'clay/silt' category as clay (saturated recommended 1.7); default 1.5 set slightly above clay. DRY silt as low as 0.4 - note saturation sensitivity.","VDI 4640 Blatt 1:2010 (clay/silt, saturated and dry), transcribed in Busby 2011 (BGS); Banks 2012"
sand,2.4,1.5,4.0,"Range is VDI 4640 'sand water-saturated' (recommended 2.4, used as default). DRY sand is only 0.3-0.8 (VDI rec 0.4) - the strongest saturation sensitivity of any bucket. Wells sit below the water table so the saturated value is used.","VDI 4640 Blatt 1:2010 (sand, saturated and dry rows), transcribed in Busby 2011 (BGS)"
gravel,2.0,1.6,2.0,"Range is VDI 4640 'gravel water-saturated' (recommended 1.8); default kept at 2.0 (top of the saturated range). DRY gravel drops to ~0.4 (VDI rec 0.4).","VDI 4640 Blatt 1:2010 (gravel, saturated and dry rows), transcribed in Busby 2011 (BGS)"
till,1.8,1.1,2.9,"Glacial till / moraine (water-saturated); VDI 4640 recommended 2.0. Poorly-sorted diamict, values scatter with clast content; default 1.8 within range.","VDI 4640 Blatt 1:2010 (till/moraine); Banks 2012"
fill,1.5,0.5,2.0,"Anthropogenic made-ground (topsoil/muck/peat/rubble bucket) - NOT a natural lithology and has no standard GSHP category. Range and default are a screening placeholder bracketed by VDI unconsolidated soils (dry topsoil/sand ~0.4 up to saturated silt ~1.7).","No direct literature category; bracketed by VDI 4640 Blatt 1:2010 unconsolidated-soil ranges (engineering judgement)"
basalt,2.0,1.3,2.3,"VDI 4640 recommended value is 1.7; default 2.0 sits at the upper end (denser, less-vesicular basalt). Measured igneous basalt commonly 1.4-2.1.","VDI 4640 Blatt 1:2010 magmatic-rock table (basalt); Kavanaugh & Rafferty 2014 (ASHRAE) Table 3.4"
rock,2.5,1.9,3.5,"Generic undifferentiated bedrock (WWIS formation code 26 'ROCK', lithology unspecified) - no single literature category. Range spans the Ottawa-area bedrock buckets (shale ~1.9 to dolostone/granite ~3.2); default 2.5 is a mid-bedrock screening placeholder.","No single literature category; bracketed by VDI 4640 Blatt 1:2010 bedrock ranges (shale...dolostone/granite)"
